Export Country/Territory,Import Country/Territory,Trade_Value
Canada,Switzerland,299519.01
Canada,Taiwan,468759138.63
Canada,Thailand,65062.509999999995
Canada,Trinidad and Tobago,104364384.05
Canada,Turkey,137144.45
Canada,US Miscellaneous Pacific Islands,672678.02
Canada,United Arab Emirates,97731596.48
Canada,United Kingdom,5493115.56
Canada,United States,22701627174.53
Canada,Vietnam,595242458.35
Cayman Islands,Honduras,321.86
Chile,Angola,3636044.56
Chile,Argentina,801822.54
Chile,Austria,6720354.57
Chile,Belgium,249.67000000000002
Chile,Canada,41372593.22
Chile,China (mainland),2790320828.78
Chile,Colombia,1073524918.24
Chile,Costa Rica,113244087.81
Chile,Cuba,8815187.22
Chile,Czechia,11433990.5
Chile,Côte d'Ivoire,1049150.41
Chile,Dominican Republic,18460466.78
Chile,Ecuador,75120790.24
Chile,El Salvador,211305.67
Chile,France,608608.9199999999
Chile,Germany,175017635.28
Chile,Guatemala,1120397.98
Chile,Hong Kong SAR,307315.49
Chile,Italy,13623190.14
Chile,Japan,4734227862.31
Chile,Mexico,212147373.95
Chile,Netherlands,90662591.59
Chile,Northern Mariana Islands,6411706.25
Chile,Paraguay,2217075.56
Chile,Peru,273118067.39
Chile,Philippines,78878862.16
Chile,Russia,75962298.12
Chile,Senegal,1459593.44
Chile,Singapore,24353849.38
Chile,South Korea,2082468144.65
Chile,Spain,71444297.73
Chile,Sweden,5939705.31
Chile,Turkey,4562.35
Chile,United States,813958205.64
Chile,Uruguay,12033664.52
China (mainland),Afghanistan,4818993.25
China (mainland),Angola,594848.87
China (mainland),Australia,139563743.6
China (mainland),Austria,109742679.95
China (mainland),Bahrain,51363498.45
China (mainland),Belgium,191817942.73
China (mainland),Benin,2873144.02
China (mainland),Brunei,5338073.1899999995
China (mainland),Burundi,21722757.68
China (mainland),Cambodia,622700508.35
China (mainland),Canada,73770979.47
China (mainland),Chile,8468180.18
China (mainland),Colombia,5452130.9
China (mainland),"Congo, D.R.",1532057.15
China (mainland),"Congo, Republic of the",8060750.07
China (mainland),Cuba,1267714.4
China (mainland),Cyprus,2448309.56
China (mainland),Czechia,26883949.24
China (mainland),Denmark,36516175.44
China (mainland),East Timor,9022139.91
China (mainland),El Salvador,931.64
China (mainland),Finland,3252746.31
China (mainland),France,215445753.46
China (mainland),"Gambia, The",63902914.79
China (mainland),Georgia,163038.88
China (mainland),Germany,1462514058.85
China (mainland),Ghana,47376739.26
China (mainland),Guatemala,13449528.19
China (mainland),Honduras,2627.28
China (mainland),Hong Kong SAR,5825419341.58
China (mainland),Hungary,48647.69
China (mainland),Iceland,3353342.83
China (mainland),Indonesia,41943944.72
China (mainland),Ireland,713022870.75
China (mainland),Italy,27701600.46
China (mainland),Japan,22741195652.48
China (mainland),Jordan,661628.91
China (mainland),Kiribati,30101502.849999998
China (mainland),Laos,12189253.8
China (mainland),Lebanon,1539567.09
China (mainland),Liberia,14743548.78
China (mainland),Macao SAR,261312153.10999998
China (mainland),Malaysia,77616069.14
China (mainland),Mali,39515096.96
China (mainland),Malta,65212059.23
China (mainland),Marshall Islands,1042177.05
China (mainland),Mauritius,29415186.13
China (mainland),Mexico,12138552.73
China (mainland),Mongolia,64884109.32
China (mainland),Myanmar,561816907.29
China (mainland),Nepal,98352.86
China (mainland),Netherlands,4145727281.61
China (mainland),New Zealand,41790510.730000004
China (mainland),Nicaragua,77276.44
China (mainland),North Korea,23625481.65
China (mainland),Norway,50230368.97
China (mainland),Oman,11107.15
China (mainland),Pakistan,37959.81
China (mainland),Papua New Guinea,74084432.03999999
China (mainland),Peru,157707.03
China (mainland),Philippines,580198015.84
China (mainland),Poland,7491754.5
China (mainland),Portugal,39432107.42
China (mainland),Qatar,1921204.29
China (mainland),Senegal,7358922.75
China (mainland),Sierra Leone,1214318.99
China (mainland),Singapore,746666370.6
China (mainland),Slovenia,12405168.23
China (mainland),Solomon Islands,55996768.46
China (mainland),South Africa,214714.63999999998
China (mainland),South Korea,1711607370.47
China (mainland),Spain,286548154.9
China (mainland),Sri Lanka,138834.46
China (mainland),Sweden,29742473.62
China (mainland),Switzerland,160125042.34
China (mainland),Taiwan,444451.68
China (mainland),Thailand,370338497.05
China (mainland),Tonga,8364002.04
China (mainland),Turkey,28081.62
China (mainland),Tuvalu,5188051.7
China (mainland),Ukraine,9621.31
China (mainland),United Arab Emirates,244087646.58
China (mainland),United Kingdom,2127113151.32
China (mainland),United States,33613684.21
China (mainland),Uzbekistan,549175.48
China (mainland),Vanuatu,26107728.91
China (mainland),Venezuela,18830.7
China (mainland),Vietnam,10104355.37
China (mainland),Western Samoa,14209377.57
Christmas Island,Ghana,2.45
Colombia,Angola,5087833.68
Colombia,Aruba,8327.53
Colombia,Chile,45750565.54
Colombia,"Congo, Republic of the",5420693.89
